iter	MultiClass
0	1.978973711
1	1.882792985
2	1.808824198
3	1.736416048
4	1.676093854
5	1.622203194
6	1.575371523
7	1.537007612
8	1.496907389
9	1.460441861
10	1.426067032
11	1.390610017
12	1.364414883
13	1.332277013
14	1.302771447
15	1.278721951
16	1.255525039
17	1.231697049
18	1.209416248
19	1.190521114
20	1.171623572
21	1.152637645
22	1.139460011
23	1.124938262
24	1.110885852
25	1.098761736
26	1.084897133
27	1.073922969
28	1.059400202
29	1.045156632
30	1.032672072
31	1.021255192
32	1.009118638
33	0.9998769767
34	0.9921217288
35	0.983063639
36	0.973225425
37	0.9620348312
38	0.9503080034
39	0.940362157
40	0.9281743346
41	0.9201973057
42	0.9130758688
43	0.9031519182
44	0.8934680279
45	0.8861972923
46	0.8769273607
47	0.869379691
48	0.8607000247
49	0.8547587031
50	0.8447615047
51	0.8374683624
52	0.8303061618
53	0.8250776896
54	0.8185930104
55	0.8124141524
56	0.8066389815
57	0.8000234829
58	0.7942193292
59	0.7867397134
60	0.7815812534
61	0.7758017588
62	0.7701548389
63	0.7666532517
64	0.7609510242
65	0.7539193118
66	0.7483672846
67	0.7445456114
68	0.7380404309
69	0.7315217291
70	0.7264488457
71	0.7218723467
72	0.718196332
73	0.7135064817
74	0.7091208732
75	0.7051659452
76	0.6995235332
77	0.6935027091
78	0.6883014929
79	0.6838497875
80	0.6796541614
81	0.6737076041
82	0.6691417848
83	0.6655320365
84	0.6605963537
85	0.6567622568
86	0.6515226309
87	0.6462423669
88	0.6426278946
89	0.637844949
90	0.632058338
91	0.6298354886
92	0.6262513598
93	0.6217968762
94	0.618307015
95	0.6153323506
96	0.6129796305
97	0.6096512596
98	0.6039713833
99	0.6008313718
100	0.5968339444
101	0.593054162
102	0.5918336857
103	0.5876555712
104	0.5843377306
105	0.5801404449
106	0.5765943525
107	0.5728937268
108	0.5690807718
109	0.5663756037
110	0.5638374714
111	0.5614047202
112	0.5589465057
113	0.5559417353
114	0.5533748706
115	0.5508900516
116	0.5481800194
117	0.545522528
118	0.5438375623
119	0.541158405
120	0.5372102562
121	0.5357085053
122	0.5340393169
123	0.5318651474
124	0.5281353619
125	0.5261247742
126	0.524100519
127	0.5211540293
128	0.5178630353
129	0.513905438
130	0.5118477364
131	0.5091650907
132	0.5073372829
133	0.5045852309
134	0.5022196681
135	0.4990526113
136	0.4969371028
137	0.4951337408
138	0.4928720222
139	0.4915961625
140	0.4897367841
141	0.4869379337
142	0.4840992014
143	0.4819152142
144	0.4785901193
145	0.4745200238
146	0.4724886279
147	0.4701300344
148	0.4676270561
149	0.4659535823
150	0.4633134342
151	0.4604145953
152	0.4579409911
153	0.4546897028
154	0.4525148911
155	0.4512100071
156	0.4489531657
157	0.4473221506
158	0.4444313725
159	0.4431485659
160	0.44127032
161	0.439311799
162	0.437582407
163	0.4360004171
164	0.433883571
165	0.4311133834
166	0.4288285535
167	0.4272545834
168	0.425092614
169	0.4229684006
170	0.4213806723
171	0.4189417987
172	0.4162991089
173	0.4146373038
174	0.4119919308
175	0.4098676994
176	0.4084252571
177	0.4063001375
178	0.4045394959
179	0.4035234404
180	0.4009861062
181	0.39855021
182	0.3956869501
183	0.3942987632
184	0.3924652213
185	0.3902234351
186	0.3886560455
187	0.386963464
188	0.3842810081
189	0.3824516985
190	0.3811365857
191	0.379068202
192	0.3778060845
193	0.3764161725
194	0.3744393377
195	0.3723194506
196	0.3703258361
197	0.3684441843
198	0.3668282523
199	0.3650201163
200	0.3637946168
201	0.361926949
202	0.3605244248
203	0.3582556302
204	0.3564598743
205	0.354180346
206	0.3529456092
207	0.3512775767
208	0.3492780864
209	0.3476631093
210	0.3467878125
211	0.3450577409
212	0.3429251553
213	0.3416550432
214	0.339996901
215	0.3385590176
216	0.337067288
217	0.3357445833
218	0.3344067958
219	0.3329247827
220	0.3311830408
221	0.329522984
222	0.3275530433
223	0.3264423274
224	0.3247193422
225	0.3234325603
226	0.3216611647
227	0.3207742141
228	0.3197018434
229	0.3184649522
230	0.3172141399
231	0.3160786914
232	0.3140268236
233	0.3129347998
234	0.3110937803
235	0.3104796147
236	0.3094804308
237	0.3078799895
238	0.306844739
239	0.3049434534
240	0.3035388047
241	0.3021583549
242	0.3008505382
243	0.2990476152
244	0.2978675702
245	0.2964229838
246	0.29588427
247	0.2946220391
248	0.293343108
249	0.2923198967
250	0.2917456197
251	0.2902981664
252	0.2887432729
253	0.2878425803
254	0.2868924372
255	0.2848156692
256	0.2841301927
257	0.2822205664
258	0.2801642275
259	0.2790893447
260	0.2783433975
261	0.2774287719
262	0.276560316
263	0.2750020459
264	0.2736854687
265	0.2725250127
266	0.2711384014
267	0.2701242163
268	0.2692961415
269	0.2683795882
270	0.2669889738
271	0.2656072921
272	0.2647853793
273	0.2640740116
274	0.2633285718
275	0.2621402537
276	0.2604370394
277	0.25971667
278	0.2586350625
279	0.2578625675
280	0.2569933823
281	0.2549204227
282	0.2540360278
283	0.2527449154
284	0.2518947869
285	0.2510820088
286	0.2499165816
287	0.2483754201
288	0.2475221807
289	0.2461163261
290	0.2453786225
291	0.2443895405
292	0.2431776905
293	0.242195176
294	0.2417035167
295	0.2408975959
296	0.2401828202
297	0.2391769969
298	0.2384371419
299	0.2375144585
300	0.2361918559
301	0.2355492475
302	0.2349173924
303	0.2341026597
304	0.2330351778
305	0.2320922244
306	0.2317500666
307	0.2308435035
308	0.2297465919
309	0.2291909447
310	0.2286598122
311	0.2279713407
312	0.2266937977
313	0.2256429835
314	0.224384467
315	0.2238790926
316	0.2224481329
317	0.2219912535
318	0.2212230743
319	0.2207776789
320	0.2198740152
321	0.2191762931
322	0.218270718
323	0.216691189
324	0.2160620789
325	0.2150957433
326	0.2139636287
327	0.2137153329
328	0.2124972004
329	0.2115560118
330	0.2108350957
331	0.2102060006
332	0.2096054251
333	0.2089019718
334	0.2084264295
335	0.2078588199
336	0.2074802887
337	0.2071353007
338	0.2061456946
339	0.2053971735
340	0.2048073083
341	0.2042945394
342	0.2036842956
343	0.2032441499
344	0.2026129488
345	0.2018670578
346	0.2009099016
347	0.2004859562
348	0.1996993065
349	0.1993025236
350	0.1986522464
351	0.1979312689
352	0.1973033479
353	0.196444478
354	0.1960864855
355	0.1952466669
356	0.1946490724
357	0.1938996701
358	0.1932856019
359	0.1927159152
360	0.1921068899
361	0.1913734847
362	0.1903332999
363	0.1893584754
364	0.1887282531
365	0.1883964824
366	0.1874453167
367	0.1865738912
368	0.1860068977
369	0.1853810674
370	0.1850045722
371	0.1845257724
372	0.1835829263
373	0.1830590635
374	0.182364304
375	0.1815395872
376	0.1811392128
377	0.1803283787
378	0.1795719194
379	0.178999631
380	0.1780169913
381	0.1770726159
382	0.1764290169
383	0.1756946685
384	0.1749080465
385	0.174579891
386	0.1743146601
387	0.1737647949
388	0.1731512103
389	0.1727386959
390	0.1719168717
391	0.1713924501
392	0.1710758253
393	0.1700543631
394	0.1693984029
395	0.1690282936
396	0.1686745895
397	0.1682749565
398	0.1678997645
399	0.1671921085
400	0.1666899965
401	0.165920593
402	0.1653205265
403	0.1647830483
404	0.1644638782
405	0.1639318639
406	0.1633734923
407	0.1630469164
408	0.1626483136
409	0.1618590482
410	0.1613977343
411	0.1609772349
412	0.1605995085
413	0.1598376801
414	0.1594439197
415	0.1587750528
416	0.1579976582
417	0.1575704491
418	0.1568550936
419	0.1564053225
420	0.1561536566
421	0.1555612006
422	0.1551794086
423	0.1549844827
424	0.1543058454
425	0.1538522922
426	0.15340326
427	0.1528471448
428	0.1522483083
429	0.1518399185
430	0.1514021884
431	0.1507372112
432	0.1502030889
433	0.1493997787
434	0.1489324568
435	0.1482383401
436	0.1473509636
437	0.1471228909
438	0.1465584283
439	0.1461114153
440	0.1457739316
441	0.1449760101
442	0.1447222309
443	0.1442807962
444	0.1438529865
445	0.1431255277
446	0.1425073526
447	0.1421584348
448	0.1416931055
449	0.1412054845
450	0.1407662993
451	0.1404843148
452	0.1402203987
453	0.1398468779
454	0.1394654995
455	0.1391960261
456	0.1387117091
457	0.1384609092
458	0.1380231289
459	0.1377875902
460	0.1374342662
461	0.1368370761
462	0.1365883003
463	0.1360826484
464	0.1358602148
465	0.1351608222
466	0.134685162
467	0.1342341148
468	0.133602486
469	0.1334646906
470	0.1332277007
471	0.1328523241
472	0.1325901287
473	0.1324152706
474	0.1319360548
475	0.1314010639
476	0.1307850681
477	0.1304368192
478	0.1298287345
479	0.1293689098
480	0.1288716266
481	0.1286756852
482	0.1282892978
483	0.1278769637
484	0.1273181906
485	0.1268200359
486	0.1266646755
487	0.1262837928
488	0.1257543106
489	0.1254182456
490	0.1249657578
491	0.1246901387
492	0.124263288
493	0.1240494718
494	0.1237514921
495	0.1232356631
496	0.1229180705
497	0.1226881202
498	0.1222473676
499	0.1219107897
500	0.1215523025
501	0.1211799266
502	0.1209126174
503	0.1205322093
504	0.119975729
505	0.1198238586
506	0.1194303464
507	0.1190867012
508	0.1188221099
509	0.1184145141
510	0.1181059296
511	0.117842362
512	0.117662097
513	0.1174403929
514	0.1170579033
515	0.1169561008
516	0.1165080675
517	0.1162727311
518	0.1159424488
519	0.1155673439
520	0.1152831688
521	0.1150983751
522	0.1146089947
523	0.1141465971
524	0.1139394319
525	0.1137440388
526	0.1135103724
527	0.1129801264
528	0.1127333545
529	0.112489526
530	0.1123392232
531	0.1119711472
532	0.1115682262
533	0.111227515
534	0.1111240418
535	0.1107789399
536	0.1105100913
537	0.1102521782
538	0.1098847774
539	0.1097231509
540	0.1093953367
541	0.109091457
542	0.1086732214
543	0.1083447333
544	0.1081149984
545	0.1078655674
546	0.1075791027
547	0.1074225032
548	0.1071437166
549	0.1069133139
550	0.1066168728
551	0.1064586865
552	0.1060777954
553	0.1057770005
554	0.105440235
555	0.1050258644
556	0.1047582452
557	0.1045782443
558	0.1043392829
559	0.103942417
560	0.1037438085
561	0.103427614
562	0.1031908218
563	0.1029499661
564	0.102655175
565	0.1024803779
566	0.1020750604
567	0.1018870246
568	0.1016645837
569	0.1015093305
570	0.1011200406
571	0.1009098192
572	0.1008156452
573	0.1005838021
574	0.1002987249
575	0.1000108122
576	0.09971962945
577	0.0994743421
578	0.09933046227
579	0.09900605565
580	0.09868472739
581	0.09853125305
582	0.09813433585
583	0.0978909873
584	0.09751962309
585	0.09727242085
586	0.09703926391
587	0.09677419618
588	0.09651583934
589	0.09632567279
590	0.09608466231
591	0.09594152397
592	0.0956876202
593	0.09539068784
594	0.09508028743
595	0.09478308581
596	0.09455749001
597	0.09432650312
598	0.09410307818
599	0.09381923437
600	0.09354648951
601	0.09331539152
602	0.09307488892
603	0.09285852314
604	0.09263230584
605	0.09242545666
606	0.09221254514
607	0.09202567334
608	0.09190858925
609	0.0917558675
610	0.09151012477
611	0.09121917
612	0.09102808357
613	0.09086750893
614	0.09058716493
615	0.09045925555
616	0.09027950616
617	0.09010460795
618	0.08994992321
619	0.08974670022
620	0.08956326151
621	0.08931712896
622	0.0889648869
623	0.08866786165
624	0.0884801097
625	0.08825433001
